SnippetFile;BW Avg Assignment;BW Avg blank lines;BW Avg commas;BW Avg comments;BW Avg comparisons;BW Avg Identifiers Length;BW Avg conditionals;BW Avg indentation length;BW Avg keywords;BW Avg line length;BW Avg loops;BW Avg number of identifiers;BW Avg numbers;BW Avg operators;BW Avg parenthesis;BW Avg periods;BW Avg spaces;BW Max Identifiers Length;BW Max indentation;BW Max keywords;BW Max line length;BW Max number of identifiers;BW Max numbers;BW Max char;BW Max words
1;0,200000003;0,200000003;0,100000001;0;0;6,428571224;0,100000001;12,39999962;0,699999988;16,29999924;0;2,099999905;0;0;0,699999988;0,200000003;1,200000048;13;24;2;47;6;0;17;4
2;0,800000012;0,300000012;0;0;0,300000012;7;0,300000012;8,800000191;0,5;20,20000076;0;2,700000048;0,5;0;1,200000048;0,800000012;10,69999981;11;16;2;50;6;1;19;4
3;0,5;0;0,166666672;0;0,333333343;7,416666508;0,333333343;12,66666698;0,5;42,16666794;0;5;0,5;1;1,333333373;0,333333343;4,5;19;16;1;98;13;1;17;5
4;0,230769232;0,07692308;0,230769232;0,538461566;0;5,735848904;0,07692308;5,692307472;0,461538464;32,38461685;0;4,538461685;0;0,846153855;0,230769232;0,230769232;10,69230747;15;12;3;72;13;0;49;3
5;0;0;0;0,333333343;0;7,785714149;0,111111112;6,888888836;0,555555582;19;0;2,222222328;0,111111112;0,666666687;0,888888896;0,444444448;8,111110687;20;12;2;46;6;1;15;1
6;0,5;0;0;0;0;3,833333254;0,5;4;1;23,75;0;4,5;0,5;0;1,25;0;6,25;7;4;3;36;7;1;8;4
7;0,272727281;0,090909094;0;0,545454562;0;5,090909004;0;2,818181753;0,454545468;25,18181801;0;3,909090996;0,454545468;1,272727251;0,454545468;0,454545468;6,454545498;13;4;2;65;12;4;21;4
8;0,5;0;1,5;0;0;7,111111164;0,5;7;1;46;0,25;5,5;0;0;1;0,75;3,5;16;8;3;100;10;0;22;4
9;0,300000012;0,200000003;0;0,300000012;0;5,607142925;0;5,400000095;0,5;25,10000038;0,200000003;3,299999952;0;0,699999988;1,100000024;0,5;8,699999809;15;12;2;74;12;0;27;3
10;0;0,083333336;0;0,083333336;0;6,681818008;0,083333336;8,333333015;0,75;19,75;0;2,583333254;0;0,166666672;0,75;0,583333313;9,416666985;24;12;2;41;5;0;27;4
11;0,428571433;0,285714298;0;0;0,142857149;6,636363506;0,142857149;7,428571224;0,714285731;18,2857151;0;2,285714388;0;0,285714298;0,285714298;0;2,571428537;22;16;2;46;6;0;13;2
12;0;0,571428597;0,142857149;0;0;7;0;3,428571463;0;13,4285717;0;1,571428537;0;0;0,571428597;0,571428597;3,571428537;16;8;0;39;5;0;9;2
13;0,800000012;0;0,300000012;0,100000001;0,300000012;6,931034565;0,300000012;7,900000095;1,5;36,5;0;4,400000095;0;0,400000006;0,699999988;0;5;12;12;4;81;10;0;41;7
14;0,272727281;0,363636374;0;0,090909094;0,090909094;6,099999905;0,090909094;5,454545498;0,454545468;16,81818199;0;2,272727251;0;0,181818187;0,545454562;0,272727281;7;13;12;2;53;6;0;19;3
15;0,400000006;0,200000003;1;0;0;9;0;8;0,600000024;56,59999847;0;5,800000191;0,600000024;0,400000006;2,400000095;1,799999952;11;19;16;2;90;10;2;26;6
16;0,600000024;0,200000003;0;0;0;11,69999981;0,200000003;7,199999809;0,800000012;32,59999847;0;2,799999952;0;0;0,800000012;0,600000024;2,799999952;18;12;2;65;5;0;16;2
17;0,571428597;0,428571433;0;0;0,428571433;6,866666794;0;5,142857075;0,571428597;23,1428566;0,142857149;2,857142925;0,142857149;0,285714298;0,857142866;0,142857149;8;18;12;2;53;7;1;18;2
18;0,285714298;0;0;0,428571433;1,714285731;5,85185194;0;6;0,428571433;33,8571434;0;4,285714149;0;1;0,857142866;1,142857194;3,142857075;14;8;1;55;7;0;25;2
19;0,333333343;0,111111112;0,666666687;0,333333343;0;7,736842155;0;6,333333492;0,666666687;27,11111069;0;2,777777672;0;0,666666687;0,333333343;0;12,11111069;14;15;3;72;9;0;22;5
20;0,5;0,25;0,5;0;0;7,909090996;0;6;0,75;30,5;0;3,5;0;0;0,5;0;8,5;15;8;2;63;7;0;15;2
21;0,200000003;0;0;0;0;6,75;0,200000003;10,39999962;0,600000024;16,60000038;0;2,200000048;0;0;0,600000024;0;2,400000095;11;12;2;37;4;0;8;2
22;0,125;0;0,5;0,5;0;8,119999886;0;5,125;0,375;33;0;3,5;0;0,875;0,75;0,875;6,625;19;6;1;93;12;0;34;4
23;0,571428597;0;0;0;0,285714298;8,238095284;0,285714298;9,142857552;0,857142866;39,42856979;0;4,142857075;0,285714298;0,571428597;1,714285731;0,857142866;3,428571463;15;12;2;77;7;1;32;5
24;0;0,285714298;0,142857149;0;0;11,60000038;0;6,857142925;0,857142866;25,5714283;0;2,285714388;0;0;1;0;8,142857552;17;12;4;46;6;0;20;4
25;0,857142866;0,142857149;0,285714298;0;0,142857149;6,0625;0,142857149;16;0,857142866;45,8571434;0;5,428571224;0;0,428571433;2,571428537;1,714285731;20,5714283;13;24;2;91;10;0;41;4
26;0,125;0,125;1,5;0;0,125;5,320000172;0,125;12,125;0,25;28,5;0;4,5;1,125;1,375;0,875;0,375;16,625;9;58;1;63;10;3;18;6
27;0,428571433;0;0;0,428571433;0;6,692307472;0;6;0,571428597;36,2857132;0,142857149;4,571428776;0,285714298;1,428571463;0,857142866;0,857142866;10,14285755;24;8;1;63;8;1;26;3
28;0,285714298;0;0;0;0,285714298;6,958333492;0,142857149;11,4285717;0,857142866;34,8571434;0,142857149;4,285714149;0;0;1,714285731;1;2;22;16;3;67;8;0;28;4
29;0,5;0,25;0;0;0;8,399999619;0;6;0,25;16;0;1,75;0,25;0;0;0,25;8;14;8;1;27;3;1;8;1
