GasCost;Avg-assignments;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-identifier-length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-identifier-length;Max-indentation-length;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-occurrences-single-character;Max-occurrences-single-identifier
0,00139824;0,090909091;0;0,181818182;0;0,363636364;2,1;0;3,1;0,363636364;26,55;0;1;0;0,181818182;1,454545455;0;5,363636364;7;4;4;70;11;0;10;2
0,02002458;0,14;0;0,44;0;0,02;6,205753968;0,02;3,331216931;0,14;37,4047619;0;1,34;0,04;0;1,52;0,3;4,4;13;6;7;93;67;2;32;6
0,02002514;0,14;0;0,44;0;0,02;6,205753968;0,02;3,331216931;0,14;37,4047619;0;1,34;0,04;0;1,52;0,3;4,4;13;6;7;93;67;2;32;6
0,00139824;0,090909091;0;0,181818182;0;0,363636364;2,1;0;3,1;0,363636364;26,55;0;1;0;0,181818182;1,454545455;0;5,363636364;7;4;4;70;11;0;10;2
0,01530654;0,2;0,191304348;0,052173913;0,217391304;0,113043478;8,470416667;0,026086957;7,386243386;0,060869565;43,74603175;0,008695652;0,730434783;0,139130435;0,086956522;0,817391304;0,27826087;5,817391304;16;16;7;106;84;16;88;6
0,01865212;0,103448276;0,103448276;0,16091954;0,482758621;0,057471264;6,517965587;0,011494253;3,333333333;0,068965517;42,28;0;0,862068966;0,045977011;0;0,712643678;0,218390805;2,310344828;16;6;6;92;75;4;44;7
0,00129714;0;0,153846154;0,846153846;0;0;4,883333333;0;2,666666667;0,230769231;42,88888889;0;1;0;0;1,846153846;0,230769231;4,153846154;7;4;3;92;13;0;14;1
0,00548128;0,075;0,175;0,075;0,35;0,05;8,166666667;0;2,944444444;0,125;34,02777778;0;0,575;0,05;0;0,75;0,15;1,975;12;4;5;76;23;2;34;5
0,00428236;0,088235294;0,205882353;0,029411765;0,323529412;0,058823529;5,583333333;0;2,955555556;0,058823529;22,74444444;0;0,411764706;0,058823529;0;0,588235294;0,058823529;1,617647059;20;4;2;65;14;2;20;3
0,00656708;0,051282051;0,153846154;0;0,307692308;0;6,395833333;0;3;0,051282051;17,625;0;0,358974359;0;0;0,615384615;0;1,692307692;13;4;2;51;14;0;7;1
0,00704596;0,076923077;0,153846154;0,076923077;0,307692308;0;5,833333333;0;3;0,076923077;37;0;0,461538462;0;0;0,615384615;0,153846154;1,615384615;9;4;1;62;6;0;15;2
0,03369734;0,076923077;0,076923077;0;0,307692308;0;6;0;5,333333333;0,076923077;19,66666667;0;0,076923077;0;0;0,307692308;0;1,615384615;6;8;1;32;1;0;13;1
0,0254517;0,083333333;0,138888889;0,111111111;0,277777778;0;8,388888889;0;3,20952381;0,055555556;26,33095238;0;0,638888889;0,055555556;0;0,833333333;0,055555556;2,277777778;15;4;2;87;23;2;22;4
0,00129714;0,073170732;0,097560976;0,097560976;0,341463415;0,195121951;1,614583333;0,024390244;3,2375;0,195121951;25,1625;0;0,536585366;0,097560976;0,12195122;0,829268293;0;3,414634146;6;6;8;70;22;4;17;3
0,02479222;0;0,227272727;0,545454545;0;0;8,18;0;2,666666667;0,227272727;51,33333333;0;0,954545455;0;0;1,818181818;0,227272727;4,545454545;16;4;5;114;21;0;21;1
0,0152348;0,037735849;0;0,226415094;0,037735849;0,113207547;6,063470497;0;6,589285714;0,075471698;38,77232143;0;0,962264151;0,037735849;0,132075472;0,716981132;0,169811321;1,528301887;11;8;4;85;51;2;108;6
0,00619124;0,074626866;0,194029851;0,029850746;0,402985075;0,059701493;6,294117647;0,044776119;7,571428571;0,029850746;46,92857143;0;0,507462687;0,179104478;0,119402985;0,447761194;0,253731343;2,447761194;15;11;2;125;34;12;77;13
0,0051567;0,076923077;0,153846154;0;0;0,051282051;6,291666667;0;2,633333333;0,179487179;15,35833333;0;0,435897436;0,102564103;0,025641026;0,769230769;0,179487179;2,461538462;12;4;7;33;17;4;8;1
0,0012969;0,107142857;0,107142857;0,142857143;0,071428571;0,285714286;1,614583333;0,035714286;0;0,285714286;21,925;0;0,785714286;0,142857143;0,178571429;1,214285714;0;2,5;6;0;8;68;22;4;17;3
0,01868308;0,130434783;0,15942029;0,202898551;0,31884058;0,072463768;6,517965587;0,014492754;0;0,086956522;38,94666667;0;1,086956522;0,057971014;0;0,898550725;0,275362319;1,231884058;16;0;6;90;75;4;44;7
0,00549028;0,083333333;0,277777778;0,083333333;0,305555556;0,055555556;6,25;0;0;0,083333333;34,125;0;0,611111111;0,055555556;0;0,666666667;0,166666667;0,777777778;8;0;3;74;22;2;34;5
0,02460584;0,0625;0,125;0;0,1875;0,125;9,5;0;0;0,0625;28,75;0;0,375;0;0;0,375;0,125;0,4375;14;0;1;43;6;0;7;2
0,00428212;0,083333333;0,25;0,027777778;0,305555556;0,055555556;5,583333333;0;0;0,055555556;19,78888889;0;0,388888889;0,055555556;0;0,555555556;0,055555556;0,527777778;20;0;2;63;14;2;20;3
0,02701134;0,243243243;0;0,351351351;0,09009009;0,099099099;8,02940159;0,009009009;5,933699634;0,288288288;44,50967643;0;1,612612613;0,234234234;0,027027027;1,81981982;0,621621622;6,369369369;23;12;32;143;179;26;70;10
0,00139824;0,073170732;0,097560976;0,097560976;0,341463415;0,195121951;1,614583333;0,024390244;3,2375;0,195121951;25,1625;0;0,536585366;0,097560976;0,12195122;0,829268293;0;3,414634146;6;6;8;70;22;4;17;3
0,02171792;0,055172414;0,075862069;0,144827586;0,565517241;0,089655172;6,373427961;0,006896552;6,779365079;0,055172414;48,04503968;0;0,724137931;0,013793103;0,165517241;0,537931034;0,082758621;5,462068966;16;12;8;102;105;2;64;9
0,01523504;0,037735849;0;0,226415094;0,037735849;0,113207547;6,063470497;0;6,589285714;0,075471698;38,77232143;0;0,962264151;0,037735849;0,132075472;0,716981132;0,169811321;1,528301887;11;8;4;85;51;2;108;6
0,02827672;0,07253886;0,062176166;0,119170984;0,445595855;0,150259067;6,282548404;0,020725389;6,486909915;0,067357513;36,60723047;0;0,761658031;0,134715026;0,186528497;0,663212435;0,139896373;6,093264249;16;12;13;102;147;26;64;9
0,0213986;0,055172414;0,075862069;0,144827586;0,55862069;0,089655172;6,295650183;0,006896552;6,731746032;0,055172414;47,54206349;0;0,696551724;0,04137931;0,165517241;0,537931034;0,082758621;5,64137931;16;12;8;108;101;6;64;9
0,00139824;0,097826087;0,02173913;0,119565217;0,195652174;0,152173913;1,646664447;0,032608696;7,236533075;0,130434783;19,52938483;0,02173913;0,52173913;0,217391304;0,097826087;0,913043478;0;6,597826087;7;16;12;51;48;20;13;5
0,00139824;0,157894737;0;0,105263158;0,302631579;0,315789474;4,982142857;0,065789474;11,62790698;0,026315789;37,1627907;0,013157895;0,736842105;0,697368421;0,065789474;0,789473684;0,013157895;9,394736842;13;20;2;103;56;53;128;20
0,0152356;0,037735849;0;0,226415094;0,037735849;0,113207547;6,063470497;0;6,589285714;0,075471698;38,77232143;0;0,962264151;0,037735849;0,132075472;0,716981132;0,169811321;1,528301887;11;8;4;85;51;2;108;6
0,01899944;0,082191781;0,095890411;0,116438356;0,356164384;0,054794521;7,136228492;0,006849315;3,264093137;0,075342466;28,5888174;0;0,671232877;0,04109589;0;0,643835616;0,171232877;2,47260274;16;6;11;76;98;6;45;7
0,02723938;0,06122449;0,12244898;0,081632653;0,204081633;0,040816327;7,416666667;0;3,166666667;0,040816327;20,3375;0;0,551020408;0,040816327;0;0,734693878;0,06122449;2,510204082;17;4;2;68;27;2;25;4
0,00139824;0,044444444;0,111111111;0,088888889;0,4;0,177777778;2,263492063;0,022222222;3,154166667;0,177777778;26,60208333;0;0,511111111;0,088888889;0,111111111;0,755555556;0;2,955555556;6;6;8;74;23;4;25;3
0,0056468;0,053571429;0,142857143;0,017857143;0,375;0,035714286;8,598214286;0;2,966666667;0,053571429;28,03333333;0;0,321428571;0,071428571;0;0,535714286;0,017857143;1,321428571;20;4;3;66;18;4;21;3
0,00139824;0;0,0625;0,34375;0;0;5,883333333;0;3,140740741;0,09375;16,21851852;0;0,40625;0;0;0,75;0,09375;3,28125;8;4;3;53;13;0;15;1
0,01523488;0,037735849;0;0,226415094;0,037735849;0,113207547;6,063470497;0;6,589285714;0,075471698;38,77232143;0;0,962264151;0,037735849;0,132075472;0,716981132;0,169811321;1,528301887;11;8;4;85;51;2;108;6
0,01521616;0,06097561;0,06097561;0,134146341;0,43902439;0,134146341;6,574357708;0,012195122;6,701190476;0,06097561;51,08184524;0;0,695121951;0,170731707;0,219512195;0,512195122;0,134146341;6,597560976;13;13;5;172;57;14;75;5
0,01670654;0,075268817;0,193548387;0,344086022;0;0,182795699;6,950038218;0,064516129;6,465608466;0,129032258;34,29431217;0;1,010752688;0,989247312;0,107526882;1,247311828;0,139784946;7,010752688;12;12;12;129;94;92;65;10
0,02493084;0,113924051;0,0907173;0,050632911;0,324894515;0,067510549;6,431226574;0,021097046;6,700065778;0,0907173;33,83550553;0,004219409;0,738396624;0,097046414;0,265822785;0,945147679;0,061181435;1,620253165;23;16;43;114;350;46;325;10
0,01556078;0,051948052;0,012987013;0,142857143;0;0,155844156;6,616258528;0,025974026;7,445138889;0,12987013;34,35416667;0;0,896103896;0,077922078;0,090909091;0,831168831;0,116883117;7,402597403;12;13;10;96;69;6;26;8
0,0013018;0,130434783;0,130434783;0,173913043;0;0,347826087;1,614583333;0;6,2;0,347826087;30,7375;0;0,956521739;0,086956522;0,217391304;1,304347826;0;7,695652174;6;8;8;75;22;2;12;3
0,04526386;0,146757679;0,163822526;0,133105802;0;0,187713311;12,8388399;0,064846416;7,168882098;0,133105802;40,60722397;0,006825939;1,003412969;0,136518771;0,146757679;1,003412969;0,126279863;8,90443686;31;24;39;261;294;40;88;14
0,05955088;0,113207547;0,202830189;0,358490566;0,103773585;0,099056604;6,293797604;0,004716981;6,198786508;0,127358491;38,56530234;0;0,849056604;0,641509434;0,056603774;1,245283019;0,344339623;3,533018868;18;10;27;105;180;136;614;30
0,01386862;0,120300752;0,097744361;0,022556391;0,067669173;0,105263158;7,1079806;0,030075188;6,177104377;0,172932331;30,30740741;0,007518797;0,639097744;0,255639098;0,157894737;1,007518797;0,172932331;6,330827068;16;16;23;146;85;34;36;5
0,01866486;0,037037037;0,212962963;0,009259259;0,152777778;0,185185185;7,988095238;0,041666667;6,213600996;0,069444444;28,42070495;0;0,587962963;0,064814815;0,055555556;0,768518519;0,175925926;4,925925926;27;19;15;118;127;14;61;7
0,0097183;0,023809524;0,214285714;0,095238095;0;0,095238095;8,016666667;0;5,586666667;0,166666667;30,91;0;0,404761905;0,095238095;0,023809524;0,904761905;0,166666667;3,928571429;17;8;7;87;17;4;18;2
0,00973194;0,195652174;0,065217391;0,152173913;0,456521739;0,108695652;4,706770833;0,02173913;6,433333333;0,130434783;42,65104167;0;1,043478261;0,608695652;0,543478261;0,913043478;0,173913043;7,869565217;12;12;6;121;48;28;79;8
0,0319617;0,173184358;0,195530726;0,139664804;0,089385475;0,039106145;7,820884263;0,011173184;3,213566468;0,12849162;31,81945685;0,005586592;0,748603352;0,245810056;0,011173184;1,027932961;0,173184358;3,402234637;22;6;23;94;134;44;106;12
0,00129714;0,073170732;0,097560976;0,097560976;0,341463415;0,195121951;1,614583333;0,024390244;3,2375;0,195121951;25,1625;0;0,536585366;0,097560976;0,12195122;0,829268293;0;3,414634146;6;6;8;70;22;4;17;3
0,03836146;0,136792453;0,179245283;0,169811321;0,033018868;0,160377358;6,096666667;0,094339623;7,641342404;0,061320755;38,7994867;0,014150943;0,938679245;0,268867925;0,16509434;0,990566038;0,363207547;7,683962264;26;20;13;113;199;57;159;20
0,0305929;780;0;520;0;940;6,49206821;3;0;30;4632;2;201;46;920;4640;660;11400;17;0;30;4632;201;46;352;7
0,02001708;0,113924051;0,139240506;0,151898734;0,025316456;0,113924051;6,228998316;0,050632911;6,886419753;0,126582278;36,90246914;0;1;0,278481013;0,139240506;0,987341772;0,113924051;6,746835443;11;12;10;95;79;22;29;7
0,0323341;0,234042553;0,074468085;0,117021277;0;0,14893617;5,855769231;0,053191489;9,062703963;0,074468085;31,59465326;0,010638298;1,478723404;0,744680851;0,308510638;0,680851064;0,414893617;1,861702128;13;16;7;128;139;70;154;18
